P_hPa,R_inches
842.63,0
842.58,0
842.13,0
842.38,0
842.57,0
843,0
844.44,0
846.3,0
847.4,0
848.32,0
849.26,0.01
849.75,0
849.59,0
849.43,0
849.86,0.01
851.11,0
852.34,0
853.05,0
853.47,0
853.41,0
853.34,0
853.15,0
852.93,0
852.78,0
852.44,0
851.92,0
851.75,0
851.86,0
851.69,0
851.59,0
851.68,0
852.12,0
852.15,0
852.44,0
852.5,0
852.27,0
851.44,0
850.45,0
849.66,0
849.32,0
849.28,0
848.62,0
848.58,0
848.32,0
847.88,0
846.98,0
846.59,0
846.28,0
845.66,0
844.85,0
843.89,0
843.34,0
842.48,0
841.61,0
840.83,0
840.36,0
839.72,0
839.45,0
838.81,0
837.87,0
836.58,0
834.76,0
833.3,0
833.27,0
833.46,0
833.13,0
833.82,0
834.35,0
834.86,0
835.07,0
835.59,0
835.96,0
836.22,0
836.59,0
837.61,0
838.85,0
839.77,0
841.05,0
842,0
842.42,0
842.78,0
843.44,0
843.9,0
844.2,0
843.88,0
843.64,0
843.79,0
844.56,0
845.31,0
845.84,0
846.06,0
846.47,0
846.74,0
846.87,0
846.74,0
846.36,0
845.74,0
845.31,0
845.51,0
845.88,0
845.97,0
846.81,0
848.01,0
849.22,0
850.23,0
851.45,0
852.38,0
852.9,0
852.27,0
851.9,0
851.92,0
852.06,0
852.67,0
853.62,0
854.54,0
854.98,0
855.18,0
855.44,0
855.05,0
854.47,0
853.51,0
852.47,0
852.09,0
851.58,0
851.47,0
851.56,0
851.84,0
852.14,0
852.34,0
852.7,0
852.48,0
852.11,0.01
851.32,0.04
850.11,0.04
849.51,0.02
849.55,0.02
849.03,0
848.81,0
848.86,0
848.83,0
848.5,0
848.24,0
848.15,0
847.4,0
846.71,0
846.29,0
845.84,0
845.69,0
845.5,0
845.45,0
845.21,0
845.05,0
844.97,0
845.37,0
846.14,0
846.23,0
845.31,0
844.05,0
843.45,0
843.32,0.01
843.33,0.02
843.41,0
843.38,0
843.66,0
844.33,0
844.66,0
845.26,0
845.45,0
845.33,0
845.39,0
845.78,0
845.98,0
845.99,0
846.11,0
846.21,0
846.44,0
846.77,0
847.31,0
847.73,0.01
847.33,0
846.33,0.01
845.45,0
844.86,0
844.91,0
845.17,0
845.22,0
845.3,0
845.39,0
845.43,0
845.09,0
844.79,0
844.5,0
844.02,0
843.44,0
843.08,0
842.89,0
842.6,0
842.18,0
841.5,0
841.23,0
840.99,0
841.09,0
841,0
840.6,0
839.44,0
838.59,0
837.72,0
837.32,0
837.01,0
837.17,0
837.26,0
837.07,0
836.74,0
836.52,0
836.35,0
836.64,0
836.36,0
836.26,0
836.04,0
836.19,0
835.92,0
835.5,0
835.26,0
835.2,0
835.1,0
835.11,0
834.76,0
834.85,0
834.03,0
833.63,0
834.11,0
835.52,0
836.56,0
837.18,0
837.68,0
838.3,0
838.7,0
838.96,0
839.46,0
840.09,0
840.47,0
840.8,0
841.41,0
841.71,0
841.76,0
841.86,0
841.76,0
842.39,0
842.67,0
842.93,0
843.33,0
843.02,0
842.03,0
840.68,0
839.59,0
838.8,0
838.31,0
837.93,0
837.66,0
837.28,0
836.66,0
836.45,0
836.06,0
835.52,0
834.61,0
833.3,0
832.51,0
831.92,0
831.57,0
831.52,0
831.55,0
833.32,0
834.43,0
834.92,0
835.4,0
835.87,0
835.5,0
835.5,0
836.37,0
837.61,0
839.21,0
840.22,0
